,Name,Logo,Industry Type,Headquarters,No. of Locations,Highly Rated For,Critically Rated For,Rating,Review Count,Interview Count,Salaries Count,Job Count
0,First American Corporation,https://static.ambitionbox.com/alpha/company/photos/logos/first-american.jpg,Insurance,Bangalore / Bengaluru ,18,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Skill Development / Learning']",3.6,0,80,0,41
1,CMA CGM,https://static.ambitionbox.com/alpha/company/photos/logos/cma-cgm.jpg,Ports & Shipping,Chennai ,28,"['Job Security', 'Company Culture']",['Promotions / Appraisal'],3.9,0,94,0,11
2,HighRadius,https://static.ambitionbox.com/alpha/company/photos/logos/highradius.jpg,FinTech,Hyderabad / Secunderabad ,16,[],"['Job Security', 'Work Satisfaction', 'Company Culture']",2.9,0,193,0,18
3,Shadowfax Technologies,https://static.ambitionbox.com/alpha/company/photos/logos/shadowfax-technologies-157094.jpg,Logistics,Bangalore / Bengaluru ,193,[],"['Job Security', 'Promotions / Appraisal', 'Company Culture']",3.6,0,131,0,29
4,HERE Technologies,https://static.ambitionbox.com/alpha/company/photos/logos/here-technologies.jpg,IT Services & Consulting,Mumbai ,15,"['Work Life Balance', 'Company Culture', 'Job Security']","['Promotions / Appraisal', 'Salary & Benefits']",3.8,0,97,0,19
5,Verizon,https://static.ambitionbox.com/alpha/company/photos/logos/verizon.jpg,Telecom,Hyderabad / Secunderabad ,10,"['Salary & Benefits', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.1,0,115,0,125
6,Cavinkare,https://static.ambitionbox.com/alpha/company/photos/logos/cavinkare.jpg,FMCG,Chennai ,157,"['Company Culture', 'Work Life Balance', 'Skill Development / Learning']",[],3.9,0,60,0,3
7,Spinny,https://static.ambitionbox.com/alpha/company/photos/logos/spinny-283654.jpg,Internet,Gurgaon / Gurugram ,50,[],"['Promotions / Appraisal', 'Job Security', 'Work Life Balance']",3.7,0,177,0,16
8,Polycab Wires,https://static.ambitionbox.com/alpha/company/photos/logos/polycab-wires.jpg,Electrical Equipment,Vadodara ,137,"['Work Life Balance', 'Salary & Benefits']",[],4.0,0,106,0,7
9,DHL Express,https://static.ambitionbox.com/alpha/company/photos/logos/dhl-express.jpg,Logistics,Mumbai ,89,"['Job Security', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.1,0,69,0,0
10,DIVI'S Laboratories,https://static.ambitionbox.com/alpha/company/photos/logos/divis-laboratories.jpg,Pharma,Visakhapatnam ,29,['Job Security'],"['Company Culture', 'Work Satisfaction', 'Promotions / Appraisal']",3.7,0,79,0,2
